GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RetailBankingApp,com.hcl.ing.retialbank.app,RetailBankingAppApplication,5,3,0,0,2,1,1,1,1,1
RetailBankingApp,com.hcl.ing.retialbank.app.service,CustomerServiceImpl,126,25,0,0,30,7,1,2,1,2
RetailBankingApp,com.hcl.ing.retialbank.app.service,TransactionServiceImpl,104,3,6,0,21,1,4,1,1,1
RetailBankingApp,com.hcl.ing.retialbank.app.service,ExcelGenerator,160,0,4,0,30,0,4,0,2,0
RetailBankingApp,com.hcl.ing.retialbank.app.service,AccountServiceImpl,68,134,5,3,22,38,6,5,2,5
RetailBankingApp,com.hcl.ing.retialbank.app.dto,AccountResponse,0,17,0,0,0,7,0,5,0,5
RetailBankingApp,com.hcl.ing.retialbank.app.dto,TransactionDto,142,0,0,0,45,0,18,0,18,0
RetailBankingApp,com.hcl.ing.retialbank.app.dto,CustomerDTO,59,0,0,0,25,0,17,0,17,0
RetailBankingApp,com.hcl.ing.retialbank.app.dto,SearchRequest,29,17,0,0,7,8,1,5,1,5
RetailBankingApp,com.hcl.ing.retialbank.app.dto,AccountSummaryResponse,20,10,0,0,5,5,1,3,1,3
RetailBankingApp,com.hcl.ing.retialbank.app.dto,AccountSummaryDto,107,35,0,0,27,18,9,9,9,9
RetailBankingApp,com.hcl.ing.retialbank.app.dto,AccountUpdateRequest,69,41,0,0,17,18,2,12,2,12
RetailBankingApp,com.hcl.ing.retialbank.app.dto,AccountUpdateResponse,20,10,0,0,5,5,1,3,1,3
RetailBankingApp,com.hcl.ing.retialbank.app.dto,TransactionResponse,10,0,0,0,4,0,3,0,3,0
RetailBankingApp,com.hcl.ing.retialbank.app.dto,UserResponse,42,0,0,0,13,0,6,0,6,0
RetailBankingApp,com.hcl.ing.retialbank.app.pojo,TransactionPojo,38,0,0,0,16,0,11,0,11,0
RetailBankingApp,com.hcl.ing.retialbank.app.entity,Transaction,56,3,0,0,24,1,16,1,16,1
RetailBankingApp,com.hcl.ing.retialbank.app.entity,CustomerInfo,114,3,0,0,36,2,15,1,15,1
RetailBankingApp,com.hcl.ing.retialbank.app.entity,AccountSummary,94,55,0,0,24,24,4,16,4,16
RetailBankingApp,com.hcl.ing.retialbank.app.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
RetailBankingApp,com.hcl.ing.retialbank.app.controller,AccountController,55,3,0,0,12,1,6,1,6,1
RetailBankingApp,com.hcl.ing.retialbank.app.controller,TransactionController,5,3,0,0,1,1,1,1,1,1
